PRIJETVORAN, PRIDJEV
OSKVRNJENJE, IMENICA
ŠPEK, IMENICA
NAJAVLJIVANJE, IMENICA
NAJAUTORSKIJI, PRIDJEV
PRIKUPLJANIN, IMENICA
REPREZENTIRAN, PRIDJEV
VODONEPROPUSTLJIV, PRIDJEV
INTERSUBJEKTIVAN, PRIDJEV
BAKTERIOFAG, IMENICA
NEPOKOLEBAN, PRIDJEV
PENETRIRAVŠI, PRILOG
GLIKOZILIRANJE, IMENICA
PARCELIZACIJA, IMENICA
PRETPAKIRAN, PRIDJEV
AMBIDEKSTER, IMENICA
DESALINIZIRAN, PRIDJEV
PRIJEVOZNIKOV, PRIDJEV
RADIO-SAOPĆENJE, IMENICA
ČUPAVLJENJE, IMENICA
DEIONIZIRAN, PRIDJEV
INSCENIRANJE, IMENICA
RISKIRAJUĆI, PRIDJEV
PRED-FINANCIRANJE, IMENICA
ARHITEKONSKI, PRIDJEV
KATOFATICIZAM, IMENICA
OVJEROVLJIVATI, GLAGOL
NAJNEČOVJEČNIJI, PRIDJEV
ARKEBUZIRSKI, PRIDJEV
OKSITALANSKI, PRIDJEV
PREZAHTJEVAN, PRIDJEV
STER, IMENICA
UPROPASTIVŠI, PRILOG
TROL, IMENICA
GRNI, PRIDJEV
ARGUMENTIRATI, GLAGOL
PROSTITUIRANJE, IMENICA
INTERKURENTAN, PRIDJEV
SPEKULATIVNIJI, PRIDJEV
NAJIZABRANIJI, PRIDJEV
NERAZDVOJNIJI, PRIDJEV
JOSIPDOLSKI, PRIDJEV
SUBJEKTIVNIJI, PRIDJEV
UHO, IMENICA
GLIKOGENSKI, PRIDJEV
GREBENJANJE, IMENICA
INSTRUKTIVNIJI, PRIDJEV
OSMORECEPTOR, IMENICA
OH, KRATICA
PERSONALIZIRAN, PRIDJEV
NAIZMJENIČNOST, IMENICA
POST-KOLONIJALNI, PRIDJEV
WLAN, PRIDJEV
KONSTIPACIJA, IMENICA
LEWIS, IMENICA
FRAZEOLOGIJSKI, PRIDJEV
ICAO, KRATICA
HOMOLOGIRAJUĆI, PRILOG
WÜRTTEMBERG, PRIDJEV
PREAUTORITATIVAN, PRIDJEV
SKI, PRIDJEV
ZAVARIVANJE, IMENICA
RADIOTELEGRAFIST, IMENICA
BAN, IMENICA
BIOENERGANA, IMENICA
PERIOSTALNI, PRIDJEV
TERMOPREKIDAČ, IMENICA
FOKA, IMENICA
OPERATIVNIJI, PRIDJEV
DETRONIZIRAVŠI, PRILOG
NOĆ, IMENICA
ZAVODNJAVANJE, IMENICA
OBASIPAJUĆI, PRILOG
FERO-LEGURA, IMENICA
AMNESTIRANJE, IMENICA
PIEZO-ELEKTRIČNI, PRIDJEV
PLJAČKAŠICA, IMENICA
IZPRIČAVANJE, IMENICA
VÄSTMANLAND, IMENICA
PREKONTROLIRATI, GLAGOL
NEPOTPUNIJI, PRIDJEV
NESURADLJIVOST, IMENICA
VEGETATIVAN, PRIDJEV
OSLOBOĐIVATI, GLAGOL
GESTIKULIRAJUĆI, PRILOG
ČETRDESETOGODŠNJAK, IMENICA
KANCELARIJI, PRIDJEV
ODRJEŠITIJE, PRILOG
AKLIMATIZIRATI, GLAGOL
GONIOMETRITI, GLAGOL
NAJAKUTNIJI, PRIDJEV
KOMUNITIZACIJA, IMENICA
SUBKLINIČKI, PRIDJEV
PRESKAKIVATI, GLAGOL
NAJSRDITIJI, PRIDJEV
DVANAESTORICOJ, IMENICA
X-TERMINAL, IMENICA
CRVENOKLJUNI, PRIDJEV
ZAPANJENIJI, PRIDJEV
NAJPOZNATIJI, PRIDJEV
RAZROGAČITI, GLAGOL
PRONJUŠKATI, GLAGOL
ZDRAVSTVENO-EKOLOŠKI, PRIDJEV
RAZBJEŽAVATI, GLAGOL
NEEMITIRAJUĆI, PRIDJEV
POROBLJIVANJE, IMENICA
IMPLEMENJUĆIRAJUĆI, PRILOG
STIŠAVAJUĆI, IMENICA
FATAMORGANA, IMENICA
MIR, IMENICA
NEOPLAKIVAN, IMENICA
RASTERIZATOR, IMENICA
POSTČEHOVLJANSKI, PRIDJEV
C-HIDRONIRANJE, IMENICA
KONFISCIRANJE, IMENICA
NEPRIJATELJICA, IMENICA
PONI, IMENICA
PREBOLIJEVANJE, IMENICA
FRANKIZIRAN, PRIDJEV
NAJSRETNIJI, PRIDJEV
PERPENDIKULAR, IMENICA
SEZAM-SJEME, IMENICA
INTERVENCIJI, PRIDJEV
SLAVENIZIRATI, GLAGOL
PERPETUIRANJE, IMENICA
GOROPADNICA, IMENICA
TAJANSTVENOST, IMENICA
PRIMITIVIZAM, IMENICA
CLEVELANDSKI, PRIDJEV
NAJNAPORNIJI, PRIDJEV
PARLAMENARAC, IMENICA
JUĆISKAJUĆI, PRILOG
NAJZAŠTIĆENIJI, PRIDJEV
UTISKIVANJE, IMENICA
NEOPLEMENJEN, PRIDJEV
OTPISIVANJE, IMENICA
TRANSESTERIFIKACIJA, IMENICA
ZNAKOVITOST, IMENICA
PREBEZOBRAZNO, PRILOG
NAJKOŠTUNJAVIJI, PRIDJEV
BINOKULARNI, PRIDJEV
A-VAL, IMENICA
NETAPECIRAN, PRIDJEV
JAP, IMENICA
HIPOKRIZIJA, IMENICA
PRETPOSTAVLJEN, PRIDJEV
ANTIKOINCIDENCIJA, IMENICA
PARCELIRAJUĆI, PRIDJEV
DOP, KRATICA
JEDNOGLASNIK, IMENICA
ZIMMERMANN-REINHARDTOV, PRIDJEV
GOLUŽDRAVAC, IMENICA
DOSTOJANSTVEN, PRIDJEV
MNOGOSTRUPK, IMENICA
FLUORINDOL-OCTEN, PRIDJEV
GREBENALJKA, IMENICA
IMPERFEKTIVIZACIJA, IMENICA
HODOČASTITI, GLAGOL
ANACIONALAN, PRIDJEV
VISINOMETAR, IMENICA
POLIAKRILONITRILNI, PRIDJEV
HIDRAULIČNOST, IMENICA
RAZDUŽIVATI, GLAGOL
KOORDINATSKI, PRIDJEV
MIKROBOTANIČKI, PRIDJEV
RAZLABAVITI, GLAGOL
NADJAČAVATI, GLAGOL
ODRJEŠITOST, IMENICA
NAJDOBROTVORNIJI, PRIDJEV
OKRUGLJAČKI, PRIDJEV
